name,state,cz,tier,cuny,count,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top1,kid_median,kid_q1,kid_q2,kid_q3,kid_q4,kid_q5,kid_top1,kidq1_if_parq1,kidq2_if_parq1,kidq3_if_parq1,kidq4_if_parq1,kidq5_if_parq1,kidtop1_if_parq1
"Culver-Stockton College","MO","Quincy","Selective private",0,173,78600,7.40482,14.02985,23.25063,34.84619,20.46852,.4359724,38900,6.934159,11.76809,23.62776,34.43604,23.23396,.3708948,18.99942,7.013999,26.41147,26.49434,21.08076,.4420927
"Cumberland County College","NJ","Philadelphia","Two-year (public and private not-for-profit)",0,515.3333333,59900,14.98203,23.08409,22.48033,24.29423,15.15931,.1432099,32200,12.5809,18.3617,23.13352,24.69534,21.22853,.1316723,11.35207,21.06364,30.78382,19.14981,17.65066,.0116633
"Cumberland University","TN","Nashville","Selective private",0,151.3333333,68800,13.66856,20.48904,20.6249,24.49109,20.72643,.2224877,37500,9.707217,14.12688,21.37499,33.62376,21.16717,.431298,10.006,15.58089,21.64124,38.10355,14.66832,.0846853
"Curry College","MA","Boston","Selective private",0,342,101600,6.411239,11.5225,14.66437,22.23038,45.17152,4.780292,38800,12.52372,14.08255,18.43967,26.05,28.90407,.4539709,17.0026,21.46897,10.03249,21.71217,29.78377,.1137457
"Cuyahoga Community College","OH","Cleveland","Two-year (public and private not-for-profit)",0,3499.5,57500,17.95296,21.51956,24.03082,23.12359,13.37307,.3190435,26700,14.73901,23.09654,26.25206,22.73575,13.17663,.2143072,17.0587,32.13229,28.03008,17.05253,5.726397,.0856058
"D G Erwin Technical Center","FL","Tampa","Two-year (public and private not-for-profit)",0,166.3333333,42500,28.75808,27.29961,17.92074,16.41478,9.606782,.3852579,25300,19.23039,22.22982,28.5584,19.65102,10.33037,.0403461,18.60344,20.58797,31.66845,19.54515,9.595001,0
"D'Youville College","NY","Buffalo","Selective private",0,107.6666667,75800,14.15983,15.41538,19.76506,28.21727,22.44246,.3706327,45200,7.119935,11.74397,17.28576,24.97428,38.87605,.7354289,4.347106,23.51796,26.58789,17.53594,28.01111,.0735394
"Dabney S Lancaster Community College","VA","Staunton","Two-year (public and private not-for-profit)",0,161.3333333,63200,13.80294,18.70918,31.43746,26.81575,9.234682,.2145486,29800,9.784797,18.89355,29.05805,25.00352,17.26009,.259853,11.38945,26.95598,37.09869,22.03129,2.524598,0
"Daemen College","NY","Buffalo","Selective private",0,250.6666667,77600,10.85297,15.90119,19.72276,27.09589,26.42719,.3952889,41900,8.838754,12.86512,19.32187,31.98887,26.98538,1.614288,12.08842,19.98297,26.20782,27.44841,14.27239,2.302119
"Dakota College At Bottineau","ND","Minot","Two-year (public and private not-for-profit)",0,135.3333333,54900,14.62768,23.29646,33.86998,20.45972,7.746151,.1661889,34700,9.230828,13.42228,24.66979,31.82071,20.85638,.6067083,12.20106,19.162,25.47122,31.27304,11.89268,0
"Dallas Baptist University","TX","Dallas","Selective private",0,289.6666667,87000,6.055889,11.81777,21.39764,28.29483,32.43387,.7131512,39500,14.82749,14.92568,15.56259,27.51271,27.17152,1.601731,13.0952,17.75986,29.29747,26.12586,13.72161,0
"Dallas County Community College District","TX","Dallas","Two-year (public and private not-for-profit)",0,8513,59200,15.4453,22.62644,21.92431,20.39177,19.61219,.5563303,32300,14.39584,17.49544,22.53679,27.01101,18.56092,.4195792,16.18091,21.57867,24.37484,24.52253,13.34306,.3294217
"Dalton State College","GA","Rome","Nonselective four-year public",0,719.6666667,63500,11.86697,20.1965,29.31073,25.85004,12.77577,.6135827,29700,13.33726,18.12463,27.61816,27.43561,13.48435,.0834127,15.91628,22.65279,25.22612,25.5206,10.68421,0
"Daniel Webster College","NH","Manchester","Four-year for-profit",0,140,93800,4.136414,12.09895,16.83277,28.26127,38.6706,1.469395,50300,7.787135,8.294835,13.54654,24.90528,45.46621,1.027543,5.07021,20.96869,26.93468,31.2114,15.81502,.5592784
"Danville Area Community College","IL","Lafayette","Two-year (public and private not-for-profit)",0,480.3333333,61100,14.19361,20.83454,27.73051,27.20188,10.03947,.2614918,28400,12.83206,21.62417,27.29432,24.15105,14.0984,.1004907,19.49169,29.18703,27.7918,17.16085,6.368621,0
"Danville Community College","VA","Greensboro","Two-year (public and private not-for-profit)",0,472.6666667,59800,16.66716,21.68035,24.9017,26.47989,10.27089,.3466463,29100,14.82128,19.80576,26.3452,24.52174,14.50601,.1276325,20.61971,26.79212,26.99493,18.8277,6.765535,.015258
"Dartmouth College","NH","Claremont","Ivy Plus",0,996,185500,2.771394,5.100642,8.129125,12.92711,71.07173,17.73366,76600,7.594109,7.610126,7.76606,13.70198,63.32772,17.67208,10.06164,9.781548,11.85025,18.64702,49.65954,13.10212
"Darton State College","GA","Albany","Two-year (public and private not-for-profit)",0,585,63200,17.98272,19.4293,19.4983,25.07041,18.01928,.2654056,28800,12.5901,20.86985,27.3535,24.65132,14.53523,.2429781,10.16976,30.63696,33.3432,18.06707,7.783002,0
"Davenport University","MI","Grand Rapids","Selective private",0,949,55800,20.41264,19.88315,25.04111,22.02201,12.64109,.2705814,23400,15.82476,25.16983,27.68618,19.96629,11.35296,.399114,18.77323,36.17439,26.68736,12.26291,6.102112,.1934513
"Davidson College","NC","Charlotte","Other elite schools (public and private)",0,409.3333333,208500,1.381698,3.538278,6.917132,10.97176,77.19114,17.50542,60300,9.143394,8.813005,10.38085,18.30105,53.3617,9.682855,14.78851,14.96968,21.22921,19.32408,29.68852,12.31625
"Davidson County Community College","NC","Greensboro","Two-year (public and private not-for-profit)",0,393,60000,12.63378,23.7154,26.37366,25.89569,11.38146,.1372432,24300,15.55435,24.6259,28.31246,21.83026,9.677027,.0593885,18.67016,28.62139,31.94795,14.82329,5.937206,0
"Davis & Elkins College","WV","Elkins","Selective private",0,119.6666667,68000,10.97995,18.26859,23.33797,23.10484,24.30864,1.638307,32700,14.06187,16.97721,24.11391,25.25398,19.59302,.8596867,25.18715,15.04593,27.16708,27.51122,5.08862,.0782248
