id,birth_yr,gender,race,schooling,parent_edu,afqt,income,wage
3651,1960,female,"non-black, non-hispanic",16,12,50.502,103000,52.88
3660,1964,male,"non-black, non-hispanic",12,8,6.285,27040,13
3661,1961,female,"non-black, non-hispanic",14,11,38.955,10000,8.9
3662,1957,female,"non-black, non-hispanic",12,12,17.578,32000,12.3
3668,1960,male,"non-black, non-hispanic",19,13,99.384,370314,98.29
3675,1964,male,"non-black, non-hispanic",16,8,78.493,136000,52.3
3676,1960,male,"non-black, non-hispanic",14,12,90.283,90000,34.61
3677,1963,female,"non-black, non-hispanic",17,10,90.778,32000,17.85
3679,1962,female,"non-black, non-hispanic",16,10,67.885,110000,43.26
3680,1963,male,"non-black, non-hispanic",16,10,87.409,52000,20.08
3686,1959,male,"non-black, non-hispanic",16,13,76.418,150000,72.11
3687,1960,female,"non-black, non-hispanic",16,12,38.054,20000,14.1
3689,1958,male,"non-black, non-hispanic",20,14,95.345,370314,216.34
3690,1961,male,"non-black, non-hispanic",19,11,97.84,170000,67.13
3693,1962,male,"non-black, non-hispanic",10,10,33.068,42000,15.53
3694,1958,male,"non-black, non-hispanic",12,12,40.937,65000,24.61
3695,1962,male,black,13,9,50.653,3200,10
3697,1963,female,hispanic,12,9,23.181,7000,8.1
3699,1962,female,black,16,11,11.84,23000,12.85
3700,1957,male,hispanic,12,11,48.52,48500,16
3702,1957,male,hispanic,14,12,49.905,67000,23.41
3705,1959,female,"non-black, non-hispanic",14,12,71.213,87000,44.5
3706,1957,male,"non-black, non-hispanic",12,13,37.08,39000,13.33
3707,1958,male,"non-black, non-hispanic",16,13,86.836,150000,48.07
3708,1960,male,"non-black, non-hispanic",12,12,87.553,6000,28.5
3709,1960,female,"non-black, non-hispanic",18,12,57.749,32000,19.23
3712,1961,male,"non-black, non-hispanic",16,9,76.789,73500,31.41
3714,1959,female,"non-black, non-hispanic",14,12,64.857,33000,30
3717,1962,female,"non-black, non-hispanic",16,11,89.157,73424,35.3
3718,1963,female,"non-black, non-hispanic",15,10,47.308,40000,23.18
3719,1957,female,"non-black, non-hispanic",12,12,29.347,18000,8.8
3721,1960,male,"non-black, non-hispanic",12,12,83.258,65661,30.2
3722,1961,male,"non-black, non-hispanic",12,10,53.708,60000,32
3724,1963,male,"non-black, non-hispanic",12,10,67.589,34000,16.16
3725,1958,female,"non-black, non-hispanic",12,12,40.026,29640,14.5
3726,1961,female,"non-black, non-hispanic",11,11,74.917,30000,15.23
3730,1957,female,"non-black, non-hispanic",14,14,87.574,25900,23.71
3732,1963,male,"non-black, non-hispanic",13,8,99.473,96400,44.13
3734,1962,female,"non-black, non-hispanic",15,10,83.973,32000,32
3736,1959,female,"non-black, non-hispanic",12,12,69.238,62000,32
3737,1961,female,"non-black, non-hispanic",12,12,44.255,78000,31.18
3738,1961,female,"non-black, non-hispanic",12,10,34.888,5600,7.28
3739,1960,female,"non-black, non-hispanic",12,12,68.557,43000,20.19
3740,1961,female,"non-black, non-hispanic",12,10,16.42,20000,12
3741,1962,female,"non-black, non-hispanic",13,9,31.36,20000,7.14
3744,1960,female,"non-black, non-hispanic",13,12,79.579,60000,14.53
3745,1960,male,"non-black, non-hispanic",16,12,95.983,30000,12.65
3746,1960,female,"non-black, non-hispanic",13,12,28.755,27000,13.66
3751,1963,male,"non-black, non-hispanic",11,8,60.681,63000,26.92
3754,1961,female,"non-black, non-hispanic",13,12,81.924,37000,16.5
3755,1961,female,"non-black, non-hispanic",12,12,76.508,95600,36.76
3757,1962,male,"non-black, non-hispanic",18,11,97.506,140000,53.84
3759,1961,female,"non-black, non-hispanic",12,12,32.902,56000,26.75
3764,1958,female,"non-black, non-hispanic",12,12,86.213,50000,22.89
3765,1963,male,"non-black, non-hispanic",12,10,88.839,75000,28.84
3766,1958,male,"non-black, non-hispanic",15,12,73.454,89000,33.84
3770,1961,female,"non-black, non-hispanic",12,11,54.943,68000,26.15
3771,1964,female,"non-black, non-hispanic",16,8,87.764,35000,17.67
3775,1961,female,"non-black, non-hispanic",16,11,71.105,61000,29
3777,1960,male,"non-black, non-hispanic",12,12,56.903,49000,21
3780,1964,male,"non-black, non-hispanic",12,8,66.841,60000,28.84
3781,1960,female,"non-black, non-hispanic",16,13,75.934,45000,18.8
3784,1961,female,"non-black, non-hispanic",12,12,35.256,7500,17.85
3786,1958,female,"non-black, non-hispanic",14,12,21.851,37000,17
3787,1957,female,"non-black, non-hispanic",15,15,50.928,11700,7.5
3790,1959,female,"non-black, non-hispanic",12,12,39.133,30000,17.5
3791,1957,female,"non-black, non-hispanic",16,12,73.529,65000,31.25
3792,1958,male,"non-black, non-hispanic",20,13,94.762,110000,47
3793,1958,female,"non-black, non-hispanic",16,12,49.422,120000,38.46
3794,1964,female,"non-black, non-hispanic",13,8,66.337,50000,31.25
3796,1961,female,"non-black, non-hispanic",13,11,94.245,45141,21.6
3797,1963,female,"non-black, non-hispanic",14,9,89.759,39000,22.26
3798,1961,female,"non-black, non-hispanic",18,12,52.811,75000,39.56
3799,1959,female,"non-black, non-hispanic",16,12,65.844,75000,72.11
3800,1962,female,"non-black, non-hispanic",17,10,65.354,26000,12.5
3803,1960,male,"non-black, non-hispanic",20,11,81.774,61000,29.32
3804,1961,female,"non-black, non-hispanic",18,11,80.927,48000,15.38
3805,1963,male,"non-black, non-hispanic",16,9,78.523,40000,19.23
